Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Voting Ensemble,0.9157562515173586,0.5970149253731343,0.7758620689655172,0.6747891283973758,0.9533355052125102
Random Forest,0.8906287933964554,0.5083076923076923,0.8900862068965517,0.6470818644731688,0.9530092810981651
Stacking Ensemble,0.8704782714251031,0.46273458445040216,0.9299568965517241,0.6179735051915503,0.9537544518609367
Gradient Boosting,0.9217042971595047,0.6957123098201936,0.5420258620689655,0.6093276801938219,0.9534807803434125
Logistic Regression,0.8651371692158291,0.4512,0.9116379310344828,0.6036389582590082,0.9438377105052126
Decision Tree,0.8561544064093226,0.43440530883103623,0.9170258620689655,0.5895393141669553,0.9451860199773574
Support Vector Machine,0.8506919155134741,0.42634146341463414,0.9418103448275862,0.5869711215580927,0.9417368596396056
Neural Network (MLP),0.9175770818159747,0.6781115879828327,0.5107758620689655,0.5826674861708666,0.9489796098872587
K-Nearest Neighbors,0.9085943190094683,0.6605504587155964,0.3879310344827586,0.48879837067209775,0.9215346979810368
